size,processes,time_ms,operations,perf_M_ops,verification
200,1,3.636,16000000,4400.237,PASSED
200,2,1.814,16000000,8821.4,PASSED
200,4,0.898,16000000,17827.139,PASSED
200,8,1.145,16000000,13970.822,PASSED
400,1,30.344,128000000,4218.266,PASSED
400,2,14.462,128000000,8850.972,PASSED
400,4,9.196,128000000,13919.785,PASSED
400,8,19.342,128000000,6617.885,PASSED
800,1,286.07,1024000000,3579.543,PASSED
800,2,178.252,1024000000,5744.675,PASSED
800,4,137.463,1024000000,7449.26,PASSED
800,8,150.611,1024000000,6798.955,PASSED
1200,1,1119.099,3456000000,3088.2,PASSED
1200,2,624.42,3456000000,5534.738,PASSED
1200,4,461.74,3456000000,7484.734,PASSED
1200,8,539.99,3456000000,6400.122,PASSED
1600,1,2300.389,8192000000,3561.137,PASSED
1600,2,1457.777,8192000000,5619.514,PASSED
1600,4,1081.005,8192000000,7578.133,PASSED
1600,8,1278.618,8192000000,6406.918,PASSED
2000,1,5075.876,16000000000,3152.165,PASSED
2000,2,2828.612,16000000000,5656.485,PASSED
2000,4,2110.626,16000000000,7580.69,PASSED
2000,8,2549.502,16000000000,6275.736,PASSED
